Month,OB (Bcm),Coal (Ton),Distance OB (KM),Distance Coal (KM),Fuel
Jan-23,17651848.71,1644493.176,4.098371566,14.95932549,34508759
Feb-23,15151650.49,1476316.144,4.364071048,16.11093118,33321140
Mar-23,19017841.88,2134989.924,4.434172205,15.50581035,40815447
Apr-23,18199985.98,2179526.092,4.419682691,14.6943965,35914360
May-23,18731832.87,2239618.683,4.513425789,15.42739603,38302147
Jun-23,18710578.57,2333943.272,4.315955057,14.88808946,38897667
Jul-23,21479823.81,2464073.8,4.349031134,13.78118266,39621919
Aug-23,24151259.39,2806058.912,4.22270612,13.07411391,41783822
Sep-23,21043264.92,2271027.387,4.099121014,14.2089683,34501584
Oct-23,22125962.04,2285036.818,3.519936011,14.35456905,34081456
Nov-23,19206166.45,1952814.895,3.176831217,15.36599646,31062464
Dec-23,15575126.03,1406939.275,3.255220449,16.42218896,27769341
Jan-24,19507006.97,2330841.132,3.656754753,16.01923954,29205881
Feb-24,18243370.94,1981933.084,3.596685862,15.57926856,27471453
Mar-24,19269665.72,2243991.956,3.693712829,15.12588432,29572484
Apr-24,17923924.36,2237977.557,3.625116612,15.05365287,27473040
May-24,17876548.47,2188862.817,3.750812772,15.15013817,29238211
Jun-24,15388720.78,1899472.582,3.838623029,14.78195422,25402555
Jul-24,16359272.21,2230492.516,4.089779372,14.97880395,27760145
Aug-24,15140018.53,2091268.987,3.849632323,14.46831588,25480098
Sep-24,17901486.58,2107536.946,4.021980241,15.13555298,29233675
Oct-24,16501985.6,2042334.701,3.88361812,15.43585446,26847116
Nov-24,16588638.6,2048120.304,3.753992052,15.77652537,26847883
Dec-24,11188003.51,1197227.368,4.127575959,16.20038077,21882734
Jan-25,11438000,1631000,3.714,15.144,21362236
